"","Day","Hour","Temp","pred"
"152",20160620,0,62,54.9789889580093
"153",20160620,1,62,54.9789889580093
"154",20160620,2,62,54.9789889580093
"155",20160620,3,61,54.9789889580093
"156",20160620,4,61,54.9789889580093
"157",20160620,5,61,54.9789889580093
"158",20160620,6,61,54.9789889580093
"159",20160620,7,63,131.789501059603
"160",20160620,8,67,254.285137523809
"161",20160620,9,70,254.285137523809
"162",20160620,10,73,254.285137523809
"163",20160620,11,74,254.285137523809
"164",20160620,12,76,254.735317419355
"165",20160620,13,76,254.735317419355
"166",20160620,14,77,254.735317419355
"167",20160620,15,77,122.869778372881
"168",20160620,16,76,122.869778372881
"169",20160620,17,75,122.869778372881
"170",20160620,18,75,122.869778372881
"171",20160620,19,74,122.869778372881
"172",20160620,20,73,77.4535315873016
"173",20160620,21,71,77.4535315873016
"174",20160620,22,71,77.4535315873016
"175",20160620,23,70,77.4535315873016
"176",20160621,0,69,77.4535315873016
"177",20160621,1,68,77.4535315873016
"178",20160621,2,68,77.4535315873016
"179",20160621,3,66,77.4535315873016
"180",20160621,4,66,77.4535315873016
"181",20160621,5,66,77.4535315873016
"182",20160621,6,67,77.4535315873016
"183",20160621,7,69,254.285137523809
"184",20160621,8,72,254.285137523809
"185",20160621,9,74,254.285137523809
"186",20160621,10,77,398.343699550562
"187",20160621,11,80,398.343699550562
"188",20160621,12,82,398.343699550562
"189",20160621,13,83,398.343699550562
"190",20160621,14,83,398.343699550562
"191",20160621,15,83,122.869778372881
"192",20160621,16,81,122.869778372881
"193",20160621,17,80,122.869778372881
"194",20160621,18,79,122.869778372881
"195",20160621,19,78,122.869778372881
"196",20160621,20,76,77.4535315873016
"197",20160621,21,75,77.4535315873016
"198",20160621,22,73,77.4535315873016
"199",20160621,23,71,77.4535315873016
"200",20160622,0,71,77.4535315873016
"201",20160622,1,69,77.4535315873016
"202",20160622,2,68,77.4535315873016
"203",20160622,3,67,77.4535315873016
"204",20160622,4,67,77.4535315873016
"205",20160622,5,67,77.4535315873016
"206",20160622,6,67,77.4535315873016
"207",20160622,7,69,254.285137523809
"208",20160622,8,72,254.285137523809
"209",20160622,9,74,254.285137523809
"210",20160622,10,76,398.343699550562
"211",20160622,11,78,398.343699550562
"212",20160622,12,79,398.343699550562
"213",20160622,13,80,398.343699550562
"214",20160622,14,81,398.343699550562
"215",20160622,15,80,122.869778372881
"216",20160622,16,79,122.869778372881
"217",20160622,17,78,122.869778372881
"218",20160622,18,76,122.869778372881
"219",20160622,19,75,122.869778372881
"220",20160622,20,74,77.4535315873016
"221",20160622,21,72,77.4535315873016
"222",20160622,22,70,77.4535315873016
"223",20160622,23,69,77.4535315873016
