"","Day","Hr","Temp","KWH"
"121","12/5/2014",21,41,44.0726032613038
"122","12/5/2014",22,39.92,42.4248379626392
"123","12/5/2014",23,39.56,41.0361581609833
"124","12/6/2014",0,39.74,17.3373293361786
"125","12/6/2014",1,40.1,16.2077350315313
"126","12/6/2014",2,42.08,15.6610830951535
"127","12/6/2014",3,42.86,14.6826219970947
"128","12/6/2014",4,44.42,13.9848368541286
"129","12/6/2014",5,44.78,12.8552425494813
"130","12/6/2014",6,44.78,11.5961054963298
"131","12/6/2014",7,44.72,91.7066946033701
"132","12/6/2014",8,41,89.1089491490072
"133","12/6/2014",9,39.14,87.18050789525
"134","12/6/2014",10,37.94,85.4895616804173
"135","12/6/2014",11,39.02,84.6190528727787
"136","12/6/2014",12,39.02,83.3599158196272
"137","12/6/2014",13,39.56,82.2950928892321
"138","12/6/2014",14,39.92,81.1654985845849
"139","12/6/2014",15,41,80.2949897769463
"140","12/6/2014",16,41,79.0358527237947
"141","12/6/2014",17,41,77.7767156706432
"142","12/6/2014",18,39.02,75.8050935007178
"143","12/6/2014",19,39.02,74.5459564475663
"144","12/6/2014",20,39.02,-8.1044972238613
"145","12/6/2014",21,39.02,-9.36363427701286
"146","12/6/2014",22,37.94,-11.0113995756774
"147","12/6/2014",23,37.94,-12.270536628829
"148","12/7/2014",0,37.22,11.6150990734227
"149","12/7/2014",1,35.78,9.83779102625384
"150","12/7/2014",2,37.22,9.09682496711959
"151","12/7/2014",3,37.22,7.83768791396803
"152","12/7/2014",4,35.96,6.12515124105132
"153","12/7/2014",5,35.06,4.54215731663895
"154","12/7/2014",6,33.89,2.86200633084833
"155","12/7/2014",7,33.98,83.0265715830988
"156","12/7/2014",8,33.98,81.7674345299473
"157","12/7/2014",9,33.98,80.5082974767957
"158","12/7/2014",10,33.98,79.2491604236442
"159","12/7/2014",11,33.98,77.9900233704926
"160","12/7/2014",12,33.98,76.730886317341
"161","12/7/2014",13,35.96,76.1842343809633
"162","12/7/2014",14,37.04,75.3137255733247
"163","12/7/2014",15,35.96,73.6659602746602
"164","12/7/2014",16,32,70.981852987961
"165","12/7/2014",17,30.02,69.0102308180357
"166","12/7/2014",18,28.04,67.0386086481103
"167","12/7/2014",19,26.06,65.066986478185
"168","12/7/2014",20,24.08,-18.2959523100164
"169","12/7/2014",21,23,-19.9437176086809
"170","12/7/2014",22,21.92,-21.5914829073455
"171","12/7/2014",23,21.02,-23.1744768317579
"172","12/8/2014",0,19.67,59.6287861797882
"173","12/8/2014",1,19.94,58.4668061880148
"174","12/8/2014",2,19.04,56.8838122636025
"175","12/8/2014",3,19.04,55.6246752104509
"176","12/8/2014",4,19.04,54.3655381572993
"177","12/8/2014",5,17.96,52.7177728586348
"178","12/8/2014",6,19.04,51.8472640509962
