"","V1"
"(Intercept)",-1.77818175805236
"Weekday",53.5263242587471
"Temperature",0.359840968067573
"peakhour",81.391316618276
"DayOfWeek",0.80257183720426
"hour",-1.25913705315156
"Account",999999999
